"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"gltC_1",703.342255957855,-1.84500491539929,0.103277827882054,-17.8644821762356,2.22991793120593e-71,7.91868634237127e-71
"nirC",1191.50084980431,-1.82394843543122,0.0786509252557841,-23.1904256625014,5.68779770699738e-119,2.87629770119678e-118
"frmB",1505.805963342,-1.81122966398377,0.0834600251856816,-21.7017627295721,1.97446979834251e-104,9.06667453376821e-104
"glcK",6752.15874558421,-1.80276545384706,0.0864450500450112,-20.8544671199609,1.38836071233991e-96,5.9962173468086e-96
"paiA",421.77412981353,-1.79770150150032,0.116620657414441,-15.4149491295674,1.29873079574506e-53,3.82909928339594e-53
"dprA",291.966179768722,-1.79535261217158,0.146235529490164,-12.2771300410434,1.20186525682699e-34,2.86653832896945e-34
"aldC",2107.4881800581,-1.77845247028235,0.0673316198268952,-26.413332619275,9.63060241514267e-154,5.98821115151673e-153
"recJ",17090.9067688488,-1.77563444298153,0.0592247968212329,-29.9812669402851,1.72220616124457e-197,1.28602123629385e-196
"ytlR",1087.64702791628,-1.76807229668329,0.0784235922114461,-22.54515824672,1.49807466579418e-112,7.41152729392908e-112
"metB",8994.24266668095,-1.76428119886256,0.0625506976351325,-28.2056198502192,4.98947181253114e-175,3.39284083252118e-174
"menA",258.50878590119,-1.76249004761208,0.163159423659039,-10.8022571303955,3.35844468053538e-27,7.31170926361789e-27
"cshA",26697.4724922607,-1.75845194638552,0.046841469823676,-37.5404946301817,0,0
"ygaZ_1",493.696888283278,-1.74953560459051,0.143811050046817,-12.1655158210788,4.74438859733821e-34,1.12152854712226e-33
"thiO",1275.91643101026,-1.73544201274146,0.0783929227385062,-22.1377383584783,1.36937567801524e-108,6.49336003996545e-108
"znuA_1",328.646671916348,-1.73526002676996,0.143826713187721,-12.0649355624578,1.61788958776021e-33,3.80204053123649e-33
"prfC",7745.95312180763,-1.73246623435806,0.0543087936992628,-31.9002893702935,2.64549468813644e-223,2.14593934601118e-222
"tsaD",4617.04507555592,-1.72924501654571,0.0635558113421936,-27.2082911070902,5.18183005346281e-163,3.29902965156716e-162
"prmC_2",1524.38642673902,-1.72845112746288,0.0780143443843902,-22.155555380258,9.22162690019645e-109,4.38576184122439e-108
"pdhA",8473.35414939657,-1.71727860839106,0.0547479970016401,-31.3669668744159,5.71168540487182e-216,4.54093197859958e-215
"ywlC",2600.43300386826,-1.7159145367043,0.0767983195637659,-22.3431260794655,1.4083452721758e-110,6.81980528768765e-110
"hisS",7649.77142696372,-1.70751712939428,0.0694949224517278,-24.5703868592751,2.61922700947185e-133,1.47377632434367e-132
"tcyP",30898.7287460076,-1.70596753531235,0.0493162277298174,-34.5924174220831,3.28498804888034e-262,3.18146115279441e-261
"glxK",120.543353489062,-1.69951193199658,0.218497458196947,-7.77817712856271,7.35770048550252e-15,1.2877990554034e-14
"ccpA_1",2576.75363231737,-1.69613235148333,0.0755150279252644,-22.4608584288939,1.00232935696727e-111,4.89823337135685e-111
"pheT_2",14151.3880531059,-1.69577085056117,0.0537595648561735,-31.5436119153491,2.19385217035076e-218,1.76169636593996e-217
"pimA",652.973677398918,-1.69468774364232,0.103263775001706,-16.4112511247466,1.58897040777243e-60,5.01813184114691e-60
"nanE_2",270.417074835815,-1.69337953145764,0.173657158638664,-9.75127973262037,1.82157307583182e-22,3.64314615166365e-22
"rplS",17021.2250819346,-1.6925893140678,0.0943443874377496,-17.9405406091021,5.68988784720337e-72,2.03866385198004e-71
"rnpA",1873.88479691028,-1.68600481906327,0.0938745679174594,-17.960187263346,3.99457877294836e-72,1.44093383277008e-71
"thrS",16257.2012286166,-1.68475146384651,0.0556542837755806,-30.2717302164928,2.70116892978231e-201,2.04571940748443e-200
"thrB",1628.02708868403,-1.67607292131872,0.0752056576578757,-22.2865270182662,4.99251597373824e-110,2.40302425482943e-109
"ribF",1530.9574290908,-1.67223559445488,0.0868391868210721,-19.2566933854464,1.2405176010776e-82,4.85869393755395e-82
"chbR",1.92766437766481,-1.65239443761368,1.5783274570083,-1.04692751195355,0.295133011870791,0.32391658857797
"ldh",76833.7951619784,-1.65010229742429,0.0584354397463923,-28.2380402130227,1.99615371005007e-175,1.36318531139317e-174
"cysM",7441.29663066585,-1.6436392130017,0.0756792371626886,-21.7184960449369,1.37197312342361e-104,6.31819323121306e-104
"ctpE_1",7946.5135101519,-1.63857231743667,0.0530780922818458,-30.8709723163338,2.9304743647912e-209,2.26226958209485e-208
"rimI_2",822.876142141366,-1.63185253769173,0.0972798950595073,-16.7748180309355,3.72999908532072e-63,1.22644825891821e-62
"rpmA",65170.5871546972,-1.62340437405052,0.0658479080380014,-24.6538488833031,3.34647370649245e-134,1.89633510034572e-133
"agrA_2",11.2726518357825,-1.6183808958157,0.695635644745686,-2.32647781642551,0.0199930745609927,0.0244444783079314
"yhhX",3215.18188137986,-1.61102917903194,0.0755623401415995,-21.3205305184166,7.32236840453317e-101,3.28683840181011e-100
"hosA",462.286941974603,-1.60102894913431,0.111358273500249,-14.3772788389246,7.18650444630531e-47,1.95306702469318e-46
"glsA",60.7050933379152,-1.59475183668121,0.319981703667242,-4.98388444840471,6.23203053138308e-07,9.13649980655978e-07
"rsmF",1893.88469328801,-1.5942416571141,0.0782290880829827,-20.3791415211562,2.56107530544408e-92,1.06856353475186e-91
"yfnB_2",609.36799993401,-1.58545275179593,0.107744934012308,-14.7148705071815,5.17451903446442e-49,1.44814035325292e-48
"ycjP",6.84282771552005,-1.56770520063451,0.819790717048372,-1.91232367973008,0.0558346903876227,0.0663374239698298
"wecA",6844.85889243098,-1.56375237537259,0.0562618219440481,-27.7942007801975,5.09754092150157e-170,3.35221003809033e-169
"znuA_3",1750.01584777969,-1.56296502199625,0.0837690375848067,-18.6580276801428,1.08668702976515e-77,4.1052621124461e-77
"nusA",14835.7839063522,-1.55861570757253,0.0488124046894388,-31.9307298521548,1.00038273746481e-223,8.15618170647326e-223
"topB_2",6098.91189102967,-1.55738388028067,0.0641205646232193,-24.2883681613233,2.60171593000479e-130,1.42381577265331e-129
"trpS2",4362.08534914517,-1.55127862051025,0.0596842859398973,-25.9914078903852,6.19352625355013e-149,3.74896020953527e-148
"groS",3238.31166172514,-1.54929896624893,0.0715395323816927,-21.6565430981962,5.27353167091086e-104,2.40774388860445e-103
"uppP",1539.04980506312,-1.54690366553096,0.0978531687475201,-15.8084166852304,2.72222637581076e-56,8.23885937224543e-56
"rpsF",15113.708277345,-1.53294816215739,0.0601910639806049,-25.4680356315241,4.4570962316961e-143,2.63794065861125e-142
"aroF",2007.55948452702,-1.52998721226555,0.0671256477932304,-22.7928856191962,5.39413779260846e-115,2.70214175316248e-114
"pta",6902.19336904414,-1.52402893401999,0.0533448210285221,-28.5693888298009,1.61348102186246e-179,1.11135460040354e-178
"araQ_5",8.90386718471953,-1.51750805902899,0.857473143438735,-1.76974412626303,0.0767697754566703,0.0898740667983584
"dltC",1368.77067111764,-1.51687303449925,0.0985546937333575,-15.391180034542,1.87579914797213e-53,5.52030762147231e-53
"fus",142831.253062484,-1.50785674321456,0.0520216821341158,-28.9851592904512,1.01223980490238e-184,7.22124646533037e-184
"mnmE",4659.44310815698,-1.50430164936818,0.0764767347562413,-19.6700559217509,3.89351015784882e-86,1.57116899804101e-85
"def_1",1536.82970288433,-1.50028000868449,0.0827376099393985,-18.1329870391878,1.74990177267183e-73,6.41363080901281e-73
"gpmA_1",70033.7435115469,-1.49911957523197,0.0788512211999891,-19.0120020009554,1.35674421870471e-80,5.22428255780753e-80
"gmuE_4",216.931442616887,-1.49740045017884,0.202228975879953,-7.40448021191449,1.31665158528449e-13,2.26481080009108e-13
"cggR",7366.40592009744,-1.49667387123263,0.0708382015785113,-21.1280613832897,4.39212913582132e-99,1.93350478210536e-98
"arcB",4002.83492794644,-1.49422033912219,0.0854713930433868,-17.4821105157804,1.96104437639515e-68,6.79771998585563e-68
"yodC_2",471.959797931732,-1.49106052323167,0.129146835794705,-11.5454669412257,7.78177104326557e-31,1.76136970639354e-30
"lacR_2",111.995466764215,-1.48375085892847,0.232672916572488,-6.37698138995142,1.80612398028105e-10,2.92716645080033e-10
"dnaJ",6926.76391283178,-1.48204184975846,0.0904192218246173,-16.390783064171,2.22559020221209e-60,7.01477937501957e-60
"agrA_1",904.932479633602,-1.48066355973747,0.137954983527821,-10.7329472402776,7.12856305465231e-27,1.53938429207221e-26
"yvdM_2",42.0607958287461,-1.47787889881569,0.358971836196393,-4.1169772940269,3.83873875546865e-05,5.26549745170721e-05
"dagK_1",2242.01348294157,-1.46966405028738,0.0803381920478856,-18.2934668160243,9.32889309518318e-75,3.45082665882007e-74
"tdk",2513.58980184124,-1.45581137799933,0.0710247835599149,-20.4972307556734,2.27898917144985e-93,9.63445686766364e-93
"cysS",6343.50514379004,-1.44523343856593,0.0568974295004168,-25.4006806855017,2.47857122939238e-142,1.4615338836048e-141
"murI",1513.87361113443,-1.4443435926966,0.0752745973564997,-19.1876628161318,4.69274935700503e-82,1.83349962652666e-81
"nusG",5203.93150526659,-1.43820562226225,0.0580106374906663,-24.7921016640035,1.09078567516456e-135,6.24758246922212e-135
"ywqE",1274.56149442235,-1.43288420318524,0.0821407304609705,-17.4442593235287,3.80620657994326e-68,1.31367561873636e-67
"spxA_4",46.6530681219258,-1.43162877140425,0.32865812401225,-4.3559816928514,1.32471848761734e-05,1.85367788372373e-05
