"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"yfiY",6606.0014875028,4.01631746699539,0.0620426567514011,64.7347756735883,0,0
"folT_2",117523.839797746,3.99150307307644,0.0641153681443859,62.2550129336807,0,0
"sorC_2",1806.04522621424,3.97426515929068,0.110048892791343,36.1136314821998,1.38587962248443e-285,1.45699712942771e-284
"purB",48815.4266217512,3.87819851912455,0.0584698823225794,66.3281396348373,0,0
"spxA_1",1533.08686304252,3.8668385568105,0.102525949034548,37.7157060551326,0,0
"rbsD",580.103022946971,3.86538753561701,0.165953425403592,23.2920021157536,5.34303391486113e-120,2.75424780514455e-119
"bsaA",1750.01569083759,3.84066336523054,0.0903591003764766,42.5044444801754,0,0
"msrA_1",1351.9413379338,3.83321019744751,0.116533138214989,32.8937352598857,2.70137715585989e-237,2.32086058874414e-236
"fhs1",21339.2188280436,3.82393599115107,0.067387981349338,56.7450740411388,0,0
"dcuS_1",495.825342308252,3.81329397658658,0.148553636819829,25.6694757410178,2.56315836783752e-145,1.52833099694192e-144
"spxA_2",2698.18184539734,3.75756911709884,0.085472939000692,43.9620909381438,0,0
"lysA",6425.03449826838,3.68039599126228,0.0805415684297726,45.6956086529574,0,0
"purK",17532.1767654692,3.63462688900728,0.0572526898261898,63.4839498378406,0,0
"ydeA",1568.00109271784,3.60410610408384,0.107578780596201,33.5020166998539,4.50453841093357e-246,4.11328707466962e-245
"fldH_2",10.8308246498637,3.50769543698556,0.858241115090709,4.08707457066401,4.36846738458698e-05,5.98184308532133e-05
"dapF",5598.4985379788,3.39449487181897,0.0688484111710983,49.3038955304743,0,0
"yoeB",7441.44535780915,3.33306187826487,0.0703492279616325,47.378798244704,0,0
"bglF_4",15075.1285157725,3.31832730295521,0.0561462929298735,59.1014496201875,0,0
"glcU_2",4788.82187874835,3.31688763651814,0.0659338534272857,50.3062912920162,0,0
"manP",4278.05625091935,3.31112616889247,0.0885113762625015,37.4090462572014,2.78500679146523e-306,3.17888632340103e-305
